Incident Number,Time in Alarm DateTime,Incident Date,Total Time Dispatch Notified to Last Unit Cleared(seconds),Incident Type Code,Incident Type,Location Street Address,Latitude,Longitude,Location ZIP
23-0012221,4/1/2023 20:38,4/1/2023,8075,111,Building fire,605 TRAVIS Court,32.701036,-97.098162,76010
23-0012278,4/2/2023 10:05,4/2/2023,1028,143,Grass fire,I20 EB ENTER BOWEN RMP,32.683553,-97.192188,76017
23-0012340,4/2/2023 17:37,4/2/2023,5883,111,Building fire,1814 CORONADO Street,32.68854,-97.130254,76014
23-0012360,4/2/2023 20:43,4/2/2023,960,151,"Outside rubbish, trash or waste fire",1650 ASCENSION BLUFF Drive,32.766089,-97.100007,76006
23-0012413,4/3/2023 9:56,4/3/2023,1378,113,"Cooking fire, confined to container",1008 LEIGHSFORD Lane,32.766411,-97.100022,76006
23-0012620,4/4/2023 19:30,4/4/2023,988,113,"Cooking fire, confined to container",504 West PIONEER PWY,32.700964,-97.098177,76010
23-0012655,4/5/2023 5:02,4/5/2023,6044,111,Building fire,1410 Niagara Falls Court,32.700938,-97.098152,76002
23-0012696,4/5/2023 14:30,4/5/2023,1283,131,Passenger vehicle fire,1712 GRACE Street,32.73718,-97.121837,76010
23-0012773,4/6/2023 6:04,4/6/2023,3856,131,Passenger vehicle fire,US 287 NB TO I20 EB RMP,32.683524,-97.192236,76017
23-0012825,4/6/2023 14:46,4/6/2023,669,150,"Outside rubbish fire, other",1000 BROWN BLV,32.766089,-97.100007,76006
23-0012848,4/6/2023 18:23,4/6/2023,1053,118,"Trash or rubbish fire, contained",SHERRY Street,32.665367,-97.063106,76010
23-0012968,4/7/2023 16:12,4/7/2023,3095,142,Brush or brush-and-grass mixture fire,2629 VERANDAH Lane,32.799207,-97.098303,76006
23-0012969,4/7/2023 16:43,4/7/2023,1309,113,"Cooking fire, confined to container",6702 HALF MOON Drive,32.716086,-97.07104,76001
23-0012977,4/7/2023 15:40,4/7/2023,8444,111,Building fire,1812 LAKESIDE Drive,32.722668,-97.163791,76013
23-0012998,4/7/2023 20:20,4/7/2023,532,151,"Outside rubbish, trash or waste fire",1523 BIGGS Circle,32.700888,-97.098177,76010
23-0013006,4/7/2023 22:12,4/7/2023,1157,154,Dumpster or other outside trash receptacle fire,1800 BAIRD FARM Road,32.766089,-97.100007,76011
23-0013100,4/8/2023 17:27,4/8/2023,501,150,"Outside rubbish fire, other",1201 Little School Rd Road,32.683403,-97.191991,76017
23-0013186,4/9/2023 12:10,4/9/2023,1847,113,"Cooking fire, confined to container",4101 VIRIDIAN VILLAGE Drive,32.700782,-97.097945,76155
23-0013254,4/9/2023 23:01,4/9/2023,918,131,Passenger vehicle fire,1816 CORONADO Street,32.701036,-97.098162,76014
23-0013286,4/10/2023 8:22,4/10/2023,727,113,"Cooking fire, confined to container",West DIVISION Street,32.71265,-97.189636,76013
23-0013299,4/10/2023 10:36,4/10/2023,847,113,"Cooking fire, confined to container",2301 CITRUS Lane,32.714766,-97.077693,76014
23-0013321,4/10/2023 13:30,4/10/2023,2209,143,Grass fire,1500 East I20 Highway,32.665579,-97.091467,76018
23-0013322,4/10/2023 13:32,4/10/2023,2406,114,"Chimney or flue fire, confined to chimney or flue",2427 ST GREGORY Street,32.696884,-97.125661,76013
23-0013357,4/10/2023 17:33,4/10/2023,2094,151,"Outside rubbish, trash or waste fire",6512 SUNSHINE VALLEY Drive,32.669893,-97.203054,76016
23-0013389,4/10/2023 21:43,4/10/2023,1367,151,"Outside rubbish, trash or waste fire",1501 WRIGHT Street,32.766424,-97.100025,76012
23-0013418,4/11/2023 6:58,4/11/2023,567,113,"Cooking fire, confined to container",5929 Dangerfield Court,32.567302,-97.095935,76017
23-0013427,4/11/2023 8:37,4/11/2023,4175,118,"Trash or rubbish fire, contained",1900 South COLLINS Street,32.700942,-97.098209,76010
23-0013497,4/11/2023 18:10,4/11/2023,1679,160,"Special outside fire, other",4320 WAYCROSS Drive,32.683536,-97.192295,76016
23-0013522,4/11/2023 21:08,4/11/2023,1775,155,Outside stationary compactor/compacted trash fire,901 East PIONEER PWY,32.690722,-97.07693,76010
23-0013575,4/12/2023 11:11,4/12/2023,5192,111,Building fire,125 PARKWOOD Avenue,32.731278,-97.129313,76013
23-0013582,4/12/2023 12:20,4/12/2023,11134,111,Building fire,1804 EDNA Street,32.700171,-97.097007,76010
23-0013610,4/12/2023 14:15,4/12/2023,6676,111,Building fire,1800 FULLER-WISER Road,32.736321,-97.111653,76011
23-0013658,4/12/2023 20:20,4/12/2023,2172,118,"Trash or rubbish fire, contained",5030 SAVANNAH CLUB Drive,32.683403,-97.191991,76017
23-0013667,4/12/2023 21:23,4/12/2023,2512,154,Dumpster or other outside trash receptacle fire,844 SECRETARY Drive,32.738231,-97.114519,76015
23-0013715,4/13/2023 10:01,4/13/2023,6325,118,"Trash or rubbish fire, contained",8100 WEBB FERRELL Road,32.736555,-97.111774,76002
23-0013794,4/13/2023 18:57,4/13/2023,6368,111,Building fire,4818 ABBOTT Avenue,32.738483,-97.113675,76018
23-0013813,4/13/2023 23:38,4/13/2023,1346,154,Dumpster or other outside trash receptacle fire,2307 West DIVISION Street,32.750442,-97.136243,76012
23-0013891,4/14/2023 15:27,4/14/2023,1467,142,Brush or brush-and-grass mixture fire,2303 North COLLINS Street,32.770301,-97.098539,76011
23-0013895,4/14/2023 15:27,4/14/2023,1399,140,"Natural vegetation fire, other",2300 North COLLINS Street,32.804428,-97.096509,76011
23-0013928,4/14/2023 19:48,4/14/2023,2963,111,Building fire,3911 ICHABOD Circle,32.73702,-97.111459,76013
23-0013965,4/15/2023 0:29,4/15/2023,11107,112,Fires in structure other than in a building,1300 North COOPER Street,32.750442,-97.136243,76012
23-0014070,4/15/2023 18:16,4/15/2023,969,150,"Outside rubbish fire, other",1501 West DIVISION Street,32.73718,-97.121837,76012
23-0014088,4/15/2023 20:52,4/15/2023,1118,154,Dumpster or other outside trash receptacle fire,5815 West ARKANSAS Lane,32.71265,-97.189636,76013
23-0014160,4/16/2023 12:16,4/16/2023,690,113,"Cooking fire, confined to container",4023 CASCADE SKY Drive,32.799207,-97.098303,76155
23-0014268,4/17/2023 6:12,4/17/2023,2835,112,Fires in structure other than in a building,2700 LYNNWOOD Drive,32.71481,-97.132302,76013
23-0014335,4/17/2023 15:48,4/17/2023,1287,142,Brush or brush-and-grass mixture fire,2000 DESIGN Road,32.739129,-97.112916,76014
23-0014391,4/18/2023 2:21,4/18/2023,1414,142,Brush or brush-and-grass mixture fire,3015 HOWELL Street,32.749269,-97.054798,76010
23-0014465,4/18/2023 16:19,4/18/2023,3750,151,"Outside rubbish, trash or waste fire",1200 BROWN BLV,32.73702,-97.111459,76006
23-0014506,4/18/2023 22:32,4/18/2023,2322,111,Building fire,1305 ELITE Circle,32.716099,-97.071283,76010
23-0014563,4/19/2023 11:10,4/19/2023,1466,113,"Cooking fire, confined to container",715 East SANFORD Street,32.732943,-97.148863,76011
23-0014601,4/19/2023 16:58,4/19/2023,309,143,Grass fire,West GREEN OAKS BLV,32.683403,-97.191991,76016
23-0014626,4/19/2023 22:31,4/19/2023,908,151,"Outside rubbish, trash or waste fire",South 500 OAK Street,32.731674,-97.108717,76010
23-0014743,4/20/2023 17:57,4/20/2023,1865,151,"Outside rubbish, trash or waste fire",1005 North COLLINS Street,32.738774,-97.09939,76011
23-0014745,4/20/2023 18:44,4/20/2023,649,113,"Cooking fire, confined to container",6103 AUTUMN SPRINGS Drive,32.659604,-97.16058,76001
23-0014760,4/20/2023 19:56,4/20/2023,3125,131,Passenger vehicle fire,Southeast GREEN OAKS BLV,32.652819,-97.089234,76018
23-0014820,4/21/2023 12:00,4/21/2023,3101,131,Passenger vehicle fire,500 South CENTER Street,32.73718,-97.121837,76010
23-0014823,4/21/2023 12:12,4/21/2023,2618,113,"Cooking fire, confined to container",3601 HASTINGS Drive,32.708955,-97.12434,76013
23-0014998,4/22/2023 18:06,4/22/2023,1042,113,"Cooking fire, confined to container",517 East NORTH Street,32.70812,-97.095659,76011
23-0014999,4/22/2023 18:03,4/22/2023,1241,111,Building fire,1103 CALIFORNIA Lane,32.716086,-97.07104,76015
23-0015051,4/23/2023 2:38,4/23/2023,2851,131,Passenger vehicle fire,East I30 FWY WB,32.771427,-97.074122,76010
23-0015070,4/23/2023 9:08,4/23/2023,1588,118,"Trash or rubbish fire, contained",1715 POWDER HORN Lane,32.629811,-97.086092,76018
23-0015148,4/23/2023 21:11,4/23/2023,10547,111,Building fire,925 THISTLE RIDGE Lane,32.626762,-97.125833,76017
23-0015391,4/25/2023 17:55,4/25/2023,1499,142,Brush or brush-and-grass mixture fire,626 North GREAT SOUTHWEST PWY,32.749146,-97.054928,76011
23-0015419,4/26/2023 0:59,4/26/2023,2999,111,Building fire,1623 SCOTTSDALE Drive,32.716074,-97.071306,76018
23-0015525,4/26/2023 18:31,4/26/2023,10031,111,Building fire,2400 CYPRESSWOOD Trail,32.768683,-97.090209,76014
23-0015554,4/27/2023 0:32,4/27/2023,10045,111,Building fire,1516 POWDER HORN Lane,32.633666,-97.124827,76018
23-0015649,4/27/2023 18:06,4/27/2023,3065,111,Building fire,823 CARRINGTON Drive,32.663391,-97.120667,76001
23-0015741,4/28/2023 12:04,4/28/2023,660,113,"Cooking fire, confined to container",5607 HONEY LOCUST Trail,32.659457,-97.160382,76017
23-0015902,4/29/2023 15:39,4/29/2023,576,151,"Outside rubbish, trash or waste fire",1616 South W. Abram Road,32.73718,-97.121837,76013
23-0016076,4/30/2023 19:40,4/30/2023,1264,154,Dumpster or other outside trash receptacle fire,924 West MITCHELL Street,32.724696,-97.120115,76013
23-0016109,5/1/2023 0:03,5/1/2023,3261,131,Passenger vehicle fire,2209 WATERDANCE Circle,32.70151,-97.097573,76010
23-0016228,5/1/2023 20:00,5/1/2023,1763,111,Building fire,5910 FAWN MEADOW Trail,32.633543,-97.124647,76017
23-0016342,5/2/2023 16:21,5/2/2023,3362,111,Building fire,4202 PLEASANT OAKS Court,32.68335,-97.192102,76016
23-0016408,5/3/2023 5:35,5/3/2023,3099,131,Passenger vehicle fire,1900 East I20 FWY EB,32.663409,-97.120613,76018
23-0016446,5/3/2023 12:10,5/3/2023,3023,143,Grass fire,6701 WATERLILLY Drive,32.637824,-97.101422,76002
23-0016483,5/3/2023 16:18,5/3/2023,4229,131,Passenger vehicle fire,North WATSON Road,32.716105,-97.071063,76011
23-0016614,5/4/2023 19:59,5/4/2023,1359,113,"Cooking fire, confined to container",1525 CHUKKA Drive,32.681431,-97.195574,76012
23-0016635,5/4/2023 23:01,5/4/2023,1453,113,"Cooking fire, confined to container",1505 EMERALD ISLE Drive,32.73702,-97.111459,76012
23-0016638,5/4/2023 23:31,5/4/2023,1229,154,Dumpster or other outside trash receptacle fire,1701 West RANDOL MILL Road,32.73718,-97.121837,76012
23-0016650,5/5/2023 1:23,5/5/2023,6932,131,Passenger vehicle fire,HOLLANDALE Circle,32.735055,-97.069309,76010
23-0016706,5/5/2023 12:49,5/5/2023,1223,113,"Cooking fire, confined to container",2205 WATERDANCE Circle,32.691224,-97.062838,76010
23-0016712,5/5/2023 13:18,5/5/2023,3266,111,Building fire,3925 TRISHA VAL Court,32.714932,-97.132319,76016
23-0016833,5/6/2023 6:19,5/6/2023,3840,131,Passenger vehicle fire,3200 East I30 Freeway,32.749269,-97.054798,76011
23-0016857,5/6/2023 10:59,5/6/2023,955,151,"Outside rubbish, trash or waste fire",915 West PIONEER PWY,32.700916,-97.0982,76014
23-0016868,5/6/2023 13:14,5/6/2023,841,142,Brush or brush-and-grass mixture fire,1464 TECH CENTRE PWY,32.701036,-97.098162,76014
23-0016889,5/6/2023 16:17,5/6/2023,844,162,Outside equipment fire,2807 TWIN RIDGE Drive,32.630652,-97.173401,76001
23-0016929,5/6/2023 20:52,5/6/2023,4664,111,Building fire,2201 VIEWTOP Lane,32.715104,-97.132368,76012
23-0017098,5/8/2023 0:47,5/8/2023,2218,154,Dumpster or other outside trash receptacle fire,2601 South COOPER Street,32.701036,-97.098162,76015
23-0017102,5/8/2023 0:56,5/8/2023,4611,131,Passenger vehicle fire,South SH 360 FWY SB,32.749161,-97.054917,76010
23-0017214,5/8/2023 20:31,5/8/2023,1003,118,"Trash or rubbish fire, contained",504 BETSY ROSS Drive,32.633543,-97.124647,76002
23-0017238,5/9/2023 2:35,5/9/2023,2564,118,"Trash or rubbish fire, contained",1111 MINERAL SPRINGS Road,32.633636,-97.124827,76001
23-0017325,5/9/2023 17:40,5/9/2023,4242,131,Passenger vehicle fire,1975 BALLPARK Way,32.716014,-97.071377,76006
23-0017375,5/10/2023 1:46,5/10/2023,6172,131,Passenger vehicle fire,US 287 HWY SB,32.772879,-97.062892,76001
23-0017543,5/11/2023 9:17,5/11/2023,739,131,Passenger vehicle fire,3310 S Cooper ST,32.683171,-97.132702,76015
23-0017584,5/11/2023 15:13,5/11/2023,1906,154,Dumpster or other outside trash receptacle fire,2209 WATERDANCE Circle,32.682946,-97.08397,76010
23-0017693,5/12/2023 10:37,5/12/2023,724,131,Passenger vehicle fire,US 287 SB TO KENNEDALE-SUBLETT RMP,32.666016,-97.207674,76001
23-0017719,5/12/2023 12:25,5/12/2023,2524,111,Building fire,3700 GRAMMERCY PARK Drive,32.690823,-97.097765,76015
23-0017863,5/13/2023 12:51,5/13/2023,2146,131,Passenger vehicle fire,4261 West GREEN OAKS BLV,32.683504,-97.192269,76016
23-0017946,5/14/2023 1:13,5/14/2023,1434,154,Dumpster or other outside trash receptacle fire,2000 CRAIG HANKING Drive,32.716105,-97.071063,76010
23-0018080,5/15/2023 1:57,5/15/2023,2439,118,"Trash or rubbish fire, contained",1010 South COOPER Street,32.663331,-97.116942,76017
23-0018125,5/15/2023 11:21,5/15/2023,1495,111,Building fire,1010 East ARKANSAS Lane,32.716101,-97.071251,76010
23-0018292,5/16/2023 14:34,5/16/2023,1505,150,"Outside rubbish fire, other",728 GREYSTOKE Drive,32.714939,-97.132332,76011
23-0018331,5/16/2023 20:58,5/16/2023,2047,151,"Outside rubbish, trash or waste fire",1100 MINERAL SPRINGS Road,32.633543,-97.124647,76001
23-0018336,5/16/2023 21:46,5/16/2023,2821,131,Passenger vehicle fire,I20 EB ENTER FRONTAGE RD RMP,32.68352,-97.192264,76017
23-0018384,5/17/2023 11:57,5/17/2023,1087,151,"Outside rubbish, trash or waste fire",8104 STORIE Road,32.633543,-97.124647,76001
23-0018434,5/17/2023 18:09,5/17/2023,641,113,"Cooking fire, confined to container",6307 ROCK SPRINGS Drive,32.659457,-97.160382,76001
23-0018480,5/18/2023 0:47,5/18/2023,1575,113,"Cooking fire, confined to container",708 East SANFORD Street,32.743756,-97.078222,76011
23-0018491,5/18/2023 6:20,5/18/2023,974,131,Passenger vehicle fire,438 West PARK ROW Drive,32.721296,-97.130077,76010
23-0018504,5/18/2023 7:54,5/18/2023,3468,111,Building fire,6307 STONEFORD Court,32.71598,-97.071363,76001
23-0018590,5/18/2023 16:50,5/18/2023,9965,111,Building fire,5402 SPRING WILLOW Drive,32.658898,-97.084152,76018
23-0018819,5/20/2023 8:08,5/20/2023,2974,131,Passenger vehicle fire,1500 West I30 Freeway,32.766492,-97.099798,76012
23-0019041,5/21/2023 22:35,5/21/2023,27759,111,Building fire,7109 BLACKBERRY Drive,32.683403,-97.191991,76016
23-0019048,5/22/2023 7:46,5/22/2023,2070,113,"Cooking fire, confined to container",8308 COTTON VALLEY Lane,32.663871,-97.120822,76002
23-0019074,5/22/2023 12:20,5/22/2023,4488,123,"Fire in portable building, fixed location",3505 LAKE CHAMPLAIN Drive,32.772879,-97.062892,76016
23-0019141,5/23/2023 0:50,5/23/2023,911,151,"Outside rubbish, trash or waste fire",1801 BALLPARK Way,32.771422,-97.07414,76006
23-0019245,5/23/2023 20:42,5/23/2023,1305,151,"Outside rubbish, trash or waste fire",5781 Southwest GREEN OAKS BLV,32.683403,-97.191991,76017
23-0019262,5/24/2023 1:45,5/24/2023,13946,111,Building fire,817 ASHMOUNT Lane,32.69699,-97.125798,76017
23-0019270,5/24/2023 4:58,5/24/2023,4901,111,Building fire,2101 East MAYFIELD Road,32.716086,-97.07104,76014
23-0019456,5/25/2023 11:51,5/25/2023,1150,113,"Cooking fire, confined to container",5701 West PLEASANT RIDGE Road,32.683403,-97.191991,76016
23-0019486,5/25/2023 16:21,5/25/2023,1655,142,Brush or brush-and-grass mixture fire,1702 MARTINIQUE Court,32.714793,-97.132016,76012
23-0019520,5/25/2023 20:44,5/25/2023,1556,118,"Trash or rubbish fire, contained",3202 HUNTER COVE Drive,32.633657,-97.124817,76004
23-0019555,5/26/2023 6:59,5/26/2023,3383,154,Dumpster or other outside trash receptacle fire,1600 West ARBROOK BLV,32.71481,-97.132302,76015
23-0019599,5/26/2023 12:53,5/26/2023,2300,154,Dumpster or other outside trash receptacle fire,1000 South DAVIS Drive,32.714914,-97.132397,76013
23-0019649,5/26/2023 20:04,5/26/2023,631,143,Grass fire,NB 287,32.631499,-97.158945,76001
23-0019655,5/26/2023 20:38,5/26/2023,1233,113,"Cooking fire, confined to container",741 FILLMORE Drive,32.766449,-97.100041,76011
23-0019660,5/26/2023 21:29,5/26/2023,3601,154,Dumpster or other outside trash receptacle fire,1112 West ARBROOK BLV,32.701036,-97.098162,76015
23-0019664,5/26/2023 21:55,5/26/2023,1367,154,Dumpster or other outside trash receptacle fire,5781 Southwest GREEN OAKS BLV,32.663871,-97.120822,76017
23-0019665,5/26/2023 21:39,5/26/2023,1933,154,Dumpster or other outside trash receptacle fire,1112 West ARBROOK BLV,32.679294,-97.124351,76015
23-0019700,5/27/2023 7:45,5/27/2023,1688,131,Passenger vehicle fire,4112 South COLLINS Street,32.664983,-97.090937,76018
23-0019902,5/28/2023 17:10,5/28/2023,1818,151,"Outside rubbish, trash or waste fire",1135 SILVERWOOD Drive,32.77131,-97.074072,76006
23-0019957,5/29/2023 4:49,5/29/2023,1683,111,Building fire,2615 JEWELL Drive,32.714916,-97.132304,76016
23-0019980,5/29/2023 10:52,5/29/2023,1814,131,Passenger vehicle fire,1107 CALIFORNIA Lane,32.699674,-97.123735,76010
23-0019986,5/29/2023 11:34,5/29/2023,1094,113,"Cooking fire, confined to container",704 POLK Drive,32.766408,-97.100015,76011
23-0020068,5/30/2023 0:30,5/30/2023,4092,154,Dumpster or other outside trash receptacle fire,3700 NEW YORK Avenue,32.700922,-97.098186,76014
23-0020081,5/30/2023 6:29,5/30/2023,935,154,Dumpster or other outside trash receptacle fire,4624 WINDSTONE Drive,32.663871,-97.120822,76018
23-0020124,5/30/2023 12:32,5/30/2023,1473,150,"Outside rubbish fire, other",North COLLINS Street,32.799207,-97.098303,76006
23-0020153,5/30/2023 14:58,5/30/2023,2565,141,"Forest, woods or wildland fire",608 COUSINS Lane,32.677382,-97.218077,76012
23-0020280,5/31/2023 11:48,5/31/2023,5434,111,Building fire,3701 FRENCH WOOD Drive,32.772879,-97.062892,76016
23-0020381,6/1/2023 7:46,6/1/2023,1840,151,"Outside rubbish, trash or waste fire",1100 East LAMAR BLV,32.766089,-97.100007,76011
23-0020403,6/1/2023 9:43,6/1/2023,6591,155,Outside stationary compactor/compacted trash fire,1201 North WATSON Road,32.749269,-97.054798,76006
23-0020481,6/1/2023 22:49,6/1/2023,929,113,"Cooking fire, confined to container",1837 CARRIAGE HOUSE Circle,32.714979,-97.132333,76011
23-0020657,6/3/2023 8:06,6/3/2023,1072,142,Brush or brush-and-grass mixture fire,1206 SAN MARCOS Drive,32.766313,-97.099786,76012
23-0020688,6/3/2023 12:27,6/3/2023,1697,154,Dumpster or other outside trash receptacle fire,815 East ABRAM Street,32.740589,-97.108129,76010
23-0020706,6/3/2023 14:20,6/3/2023,1839,131,Passenger vehicle fire,2219 North COLLINS Street,32.77131,-97.074072,76010
23-0020754,6/3/2023 22:43,6/3/2023,578,143,Grass fire,1907 MOODY Court,32.766089,-97.100007,76012
23-0020755,6/3/2023 22:43,6/3/2023,691,118,"Trash or rubbish fire, contained",5919 TIMBERCREST Drive,32.633543,-97.124647,76017
23-0020808,6/4/2023 11:31,6/4/2023,7127,111,Building fire,6701 SILVERCREST Drive,32.685797,-97.182177,76002
23-0020974,6/5/2023 16:44,6/5/2023,507,151,"Outside rubbish, trash or waste fire",SHERRY Street,32.692024,-97.109165,76010
23-0021032,6/6/2023 3:13,6/6/2023,6444,112,Fires in structure other than in a building,6221 JOPLIN Road,32.629267,-97.171803,76060
23-0021054,6/6/2023 10:12,6/6/2023,2018,111,Building fire,606 FULLER Street,32.714916,-97.132281,76011
23-0021085,6/6/2023 13:04,6/6/2023,14827,111,Building fire,1619 GENTLE WIND Drive,32.66498,-97.090939,76018
23-0021115,6/6/2023 16:49,6/6/2023,1638,150,"Outside rubbish fire, other",2712 East ABRAM Street,32.736802,-97.063113,76010
23-0021193,6/7/2023 8:41,6/7/2023,2830,131,Passenger vehicle fire,I20 EB EXIT COLLINS,32.665579,-97.091467,76018
23-0021233,6/7/2023 15:25,6/7/2023,1253,150,"Outside rubbish fire, other",6409 SHOREWOOD Drive,32.713154,-97.168816,76016
23-0021246,6/7/2023 16:17,6/7/2023,4179,131,Passenger vehicle fire,2480 West I30 Freeway,32.726202,-97.18111,76012
23-0021263,6/7/2023 19:07,6/7/2023,3372,132,Road freight or transport vehicle fire,West I30 Freeway,32.760236,-97.09931,76011
23-0021268,6/7/2023 19:57,6/7/2023,2730,131,Passenger vehicle fire,1509 SAN FRANCISCO Court,32.737098,-97.121868,76012
23-0021292,6/7/2023 23:24,6/7/2023,6542,113,"Cooking fire, confined to container",3400 ROSEMEAD Drive,32.718963,-97.060995,76014
23-0021298,6/8/2023 3:19,6/8/2023,7716,111,Building fire,900 East RANDOL MILL Road,32.750403,-97.089964,76011
23-0021676,6/10/2023 16:35,6/10/2023,1822,162,Outside equipment fire,2202 CLOVER PARK Drive,32.701096,-97.096041,76013
23-0021698,6/10/2023 19:34,6/10/2023,1741,154,Dumpster or other outside trash receptacle fire,2401 East LAMAR BLV,32.77131,-97.074072,76006
23-0021777,6/11/2023 10:01,6/11/2023,5512,154,Dumpster or other outside trash receptacle fire,900 East RANDOL MILL Road,32.750511,-97.136128,76011
23-0021822,6/11/2023 17:28,6/11/2023,404,151,"Outside rubbish, trash or waste fire",2141 WEBB LYNN Road,32.633412,-97.073039,76002
23-0021852,6/11/2023 20:09,6/11/2023,1577,151,"Outside rubbish, trash or waste fire",1600 STONECREST Lane,32.765749,-97.096411,76011
23-0021860,6/11/2023 20:28,6/11/2023,6886,111,Building fire,3803 WENTWORTH Drive,32.663319,-97.120605,76001
23-0021896,6/12/2023 6:39,6/12/2023,1337,131,Passenger vehicle fire,East I20 Freeway,32.664961,-97.090921,76017
23-0021930,6/12/2023 11:06,6/12/2023,1891,111,Building fire,1540 NEW YORK Avenue,32.712202,-97.056906,76010
23-0022026,6/13/2023 5:25,6/13/2023,2356,113,"Cooking fire, confined to container",3703 VILLAGE GLEN Trail,32.73702,-97.111459,76016
23-0022161,6/14/2023 4:33,6/14/2023,12589,111,Building fire,212 South COOPER Street,32.714915,-97.132301,76013
23-0022241,6/14/2023 18:29,6/14/2023,3168,131,Passenger vehicle fire,3600 SHERRY Street,32.701036,-97.098162,76014
23-0022259,6/14/2023 21:56,6/14/2023,1509,154,Dumpster or other outside trash receptacle fire,2007 South COOPER Street,32.71481,-97.132302,76013
23-0022266,6/14/2023 23:35,6/14/2023,11216,111,Building fire,2500 THOMASON Circle,32.774193,-97.062684,76006
23-0022495,6/16/2023 15:48,6/16/2023,3034,113,"Cooking fire, confined to container",7710 KITTERY Lane,32.663871,-97.120822,76002
23-0022526,6/16/2023 20:42,6/16/2023,644,151,"Outside rubbish, trash or waste fire",2202 BUSCH Drive,32.716105,-97.071063,76014
23-0022544,6/16/2023 23:04,6/16/2023,2213,154,Dumpster or other outside trash receptacle fire,3401 South COLLINS Street,32.716081,-97.071247,76014
23-0022597,6/17/2023 10:20,6/17/2023,1922,131,Passenger vehicle fire,1901 East TIMBERVIEW Lane,32.701036,-97.098162,76014
23-0022671,6/17/2023 18:50,6/17/2023,11331,111,Building fire,705 South CENTER Street,32.729903,-97.105483,76010
23-0022672,6/17/2023 20:13,6/17/2023,3063,111,Building fire,812 North CENTER Street,32.730118,-97.105986,76011
23-0022749,6/18/2023 14:00,6/18/2023,1825,154,Dumpster or other outside trash receptacle fire,1301 North COLLINS Street,32.766089,-97.100007,76011
23-0022817,6/19/2023 2:57,6/19/2023,2029,111,Building fire,1860 North COOPER Street,32.766089,-97.100007,76012
23-0022830,6/19/2023 7:53,6/19/2023,1260,112,Fires in structure other than in a building,5008 RIVER RIDGE Road,32.663871,-97.120822,76017
23-0022935,6/19/2023 19:37,6/19/2023,6186,143,Grass fire,5802 CREEKRIDGE Drive,32.629811,-97.086092,76018
23-0022942,6/19/2023 21:29,6/19/2023,1271,154,Dumpster or other outside trash receptacle fire,2506 THOMASON Circle,32.766089,-97.100007,76006
23-0023077,6/20/2023 18:03,6/20/2023,1199,151,"Outside rubbish, trash or waste fire",801 South COLLINS Street,32.701036,-97.098162,76010
23-0023097,6/20/2023 19:40,6/20/2023,3624,131,Passenger vehicle fire,South WATSON Road,32.70619,-97.067284,76010
23-0023132,6/21/2023 1:39,6/21/2023,1136,154,Dumpster or other outside trash receptacle fire,1130 North FIELDER Road,32.750442,-97.136243,76012
23-0023192,6/21/2023 13:21,6/21/2023,1374,113,"Cooking fire, confined to container",2115 WASHINGTON Circle,32.749822,-97.112488,76011
23-0023214,6/21/2023 15:03,6/21/2023,3196,143,Grass fire,US 287 SB TO KENNEDALE-SUBLETT RMP,32.716105,-97.071063,76001
23-0023300,6/22/2023 8:56,6/22/2023,1016,118,"Trash or rubbish fire, contained",2700 South COOPER Street,32.73702,-97.111459,76015
23-0023384,6/22/2023 21:13,6/22/2023,1212,154,Dumpster or other outside trash receptacle fire,2175 East ARKANSAS Lane,32.702749,-97.069306,76010
23-0023387,6/22/2023 21:59,6/22/2023,753,151,"Outside rubbish, trash or waste fire",1676 CARTER Drive,32.716105,-97.071063,76010
23-0023395,6/22/2023 23:25,6/22/2023,2272,154,Dumpster or other outside trash receptacle fire,1204 North FIELDER Road,32.750634,-97.123314,76012
23-0023499,6/23/2023 18:11,6/23/2023,1702,113,"Cooking fire, confined to container",1110 BADGER VINE Lane,32.696867,-97.125351,76155
23-0023523,6/23/2023 22:28,6/23/2023,2778,130,"Mobile property (vehicle) fire, other",3805 ENAMOR Drive,32.677324,-97.144389,76016
23-0023599,6/24/2023 14:32,6/24/2023,1560,154,Dumpster or other outside trash receptacle fire,1705 Northeast GREEN OAKS BLV,32.77131,-97.074072,76006
23-0023618,6/24/2023 17:18,6/24/2023,4170,131,Passenger vehicle fire,I30 EB ENTER BALLPARK RMP,32.766089,-97.100007,76011
23-0023668,6/25/2023 0:38,6/25/2023,3823,138,Off-road vehicle or heavy equipment fire,1931 CALIFORNIA Lane,32.71481,-97.132302,76015
23-0023692,6/25/2023 6:22,6/25/2023,10049,111,Building fire,605 CONNALLY Terrace,32.701036,-97.098162,76010
23-0023744,6/25/2023 16:38,6/25/2023,2792,131,Passenger vehicle fire,975 East SANFORD Street,32.742757,-97.095225,76011
23-0023756,6/25/2023 18:34,6/25/2023,849,160,"Special outside fire, other",6021 West ARKANSAS Lane,32.71265,-97.189636,76013
23-0023806,6/26/2023 0:47,6/26/2023,3739,131,Passenger vehicle fire,1700 West I30 Freeway,32.750442,-97.136243,76011
23-0023828,6/26/2023 8:36,6/26/2023,1660,151,"Outside rubbish, trash or waste fire",1300 DEBBIE Lane,32.651034,-97.08642,76002
